['20231206105035', 'Kevin', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206105036', 'Steve', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231206105038', 'Alice', 'HR_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206105212', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206105212', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206105212', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231206105212', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206105212', 'Admin', 'Sales_dept', 'UPDATE', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206110527', 'Kevin', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206110528', 'Steve', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231206110532', 'Alice', 'HR_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206110539', 'Michael', 'HR_dept', 'GET', 'Mobius/poster_items/DATA', '', 403]
['20231206110545', 'Evan', 'PR_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231206110547', 'Evan', 'PR_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231206110550', 'Evan', 'PR_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231206112100', '12345', 'Sales_dept', 'POST', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206112100', '12345', 'Sales_dept', 'POST', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231206112100', '12345', 'Sales_dept', 'POST', 'Mobius/server/DATA', 'HR_dept', 200]
['20231206112100', '12345', 'R&D_dept', 'GET', 'Mobius/PR_design/DATA', 'PR_dept', 200]
['20231206112100', '12345', 'R&D_dept', 'GET', 'Mobius/research_report/DATA', 'R&D_dept', 200]
['20231206112100', '12345', 'R&D_dept', 'GET', 'Mobius/poster_items/DATA', 'PR_dept', 200]
['20231206112306', '12345', 'Sales_dept', 'GET', 'Mobius/sales_manual/DATA', 'Sales_dept', 200]
['20231206112306', '12345', 'Sales_dept', 'GET', 'Mobius/hr_manual/DATA', 'HR_dept', 200]
['20231206112306', '12345', 'Sales_dept', 'GET', 'Mobius/server/DATA', 'HR_dept', 200]
